epsilon,episode,score,episode_reward,reward,train_loss,total_reward,global_steps,epoch,step
1.0,0.0,0.0,0.10000000149011612,0.10000000149011612,0.373264878988266,0.0,0.0,0,0
0.9999346733093262,0.0,0.0,0.20000000298023224,0.10000000149011612,0.023672688752412796,0.0,1.0,0,1
0.9998693466186523,0.0,0.0,0.30000001192092896,0.10000000149011612,0.07666053622961044,0.0,2.0,0,2
0.9998040199279785,0.0,0.0,0.4000000059604645,0.10000000149011612,0.053466811776161194,0.0,3.0,0,3
0.9997386932373047,0.0,0.0,0.5,0.10000000149011612,0.09569567441940308,0.0,4.0,0,4
0.9996733069419861,0.0,0.0,0.6000000238418579,0.10000000149011612,0.017055677250027657,0.0,5.0,0,5
0.9996079802513123,0.0,0.0,0.699999988079071,0.10000000149011612,0.006774475332349539,0.0,6.0,0,6
0.9995426535606384,0.0,0.0,0.800000011920929,0.10000000149011612,0.004910884890705347,0.0,7.0,0,7
0.9994773268699646,0.0,0.0,0.8999999761581421,0.10000000149011612,0.009818494319915771,0.0,8.0,0,8
0.9994120001792908,0.0,0.0,1.0,0.10000000149011612,0.021912556141614914,0.0,9.0,0,9
0.9993466734886169,0.0,0.0,1.100000023841858,0.10000000149011612,0.03466315567493439,0.0,10.0,0,10
0.9992813467979431,0.0,0.0,1.2000000476837158,0.10000000149011612,0.10324473679065704,0.0,11.0,0,11
0.9992160201072693,0.0,0.0,1.2999999523162842,0.10000000149011612,0.009970493614673615,0.0,12.0,0,12
0.9991506934165955,0.0,0.0,1.399999976158142,0.10000000149011612,0.004465592559427023,0.0,13.0,0,13
0.9990853071212769,0.0,0.0,1.5,0.10000000149011612,0.03872900456190109,0.0,14.0,0,14
0.999019980430603,0.0,0.0,1.600000023841858,0.10000000149011612,0.0016242875717580318,0.0,15.0,0,15
0.9989546537399292,0.0,0.0,1.7000000476837158,0.10000000149011612,0.043938569724559784,0.0,16.0,0,16
0.9988893270492554,0.0,0.0,1.7999999523162842,0.10000000149011612,0.04534628614783287,0.0,17.0,0,17
0.9988240003585815,0.0,0.0,1.899999976158142,0.10000000149011612,0.0021380307152867317,0.0,18.0,0,18
0.9987586736679077,0.0,0.0,2.0,0.10000000149011612,0.04072968661785126,0.0,19.0,0,19
0.9986933469772339,0.0,0.0,2.0999999046325684,0.10000000149011612,0.04242923483252525,0.0,20.0,0,20
0.9986280202865601,0.0,0.0,2.200000047683716,0.10000000149011612,0.002035154728218913,0.0,21.0,0,21
0.9985626935958862,0.0,0.0,2.299999952316284,0.10000000149011612,0.0014576229732483625,0.0,22.0,0,22
0.9984973073005676,0.0,0.0,2.4000000953674316,0.10000000149011612,0.0013087012339383364,0.0,23.0,0,23
0.9984319806098938,0.0,0.0,2.5,0.10000000149011612,0.0007105038384906948,0.0,24.0,0,24
0.99836665391922,0.0,0.0,2.5999999046325684,0.10000000149011612,0.000929906964302063,0.0,25.0,0,25
0.9983013272285461,0.0,0.0,2.700000047683716,0.10000000149011612,0.0007849478279240429,0.0,26.0,0,26
0.9982360005378723,0.0,0.0,2.799999952316284,0.10000000149011612,0.0006251443410292268,0.0,27.0,0,27
0.9981706738471985,0.0,0.0,2.9000000953674316,0.10000000149011612,0.036150623112916946,0.0,28.0,0,28
0.9981053471565247,0.0,0.0,3.0,0.10000000149011612,0.0021364595741033554,0.0,29.0,0,29
0.9980400204658508,0.0,0.0,3.0999999046325684,0.10000000149011612,0.0009478393476456404,0.0,30.0,0,30
0.997974693775177,0.0,0.0,3.200000047683716,0.10000000149011612,0.0015324139967560768,0.0,31.0,0,31
0.9979093074798584,0.0,0.0,3.299999952316284,0.10000000149011612,0.0012425368186086416,0.0,32.0,0,32
0.9978439807891846,0.0,0.0,3.4000000953674316,0.10000000149011612,0.0015460855793207884,0.0,33.0,0,33
0.9977786540985107,0.0,0.0,3.5,0.10000000149011612,0.0008463185513392091,0.0,34.0,0,34
0.9977133274078369,0.0,0.0,3.5999999046325684,0.10000000149011612,0.03888765722513199,0.0,35.0,0,35
0.9976480007171631,0.0,0.0,3.700000047683716,0.10000000149011612,0.03790413215756416,0.0,36.0,0,36
0.9975826740264893,0.0,0.0,3.799999952316284,0.10000000149011612,0.03794338181614876,0.0,37.0,0,37
0.9975173473358154,0.0,0.0,3.9000000953674316,0.10000000149011612,0.001436969032511115,0.0,38.0,0,38
0.9974520206451416,0.0,0.0,4.0,0.10000000149011612,0.0015470029320567846,0.0,39.0,0,39
0.9973866939544678,0.0,0.0,4.099999904632568,0.10000000149011612,0.0014305843506008387,0.0,40.0,0,40
0.9973213076591492,0.0,0.0,4.199999809265137,0.10000000149011612,0.0013216439401730895,0.0,41.0,0,41
0.9972559809684753,0.0,0.0,4.300000190734863,0.10000000149011612,0.0009009229834191501,0.0,42.0,0,42
0.9971906542778015,0.0,0.0,4.400000095367432,0.10000000149011612,0.0348486453294754,0.0,43.0,0,43
0.9971253275871277,0.0,0.0,4.5,0.10000000149011612,0.03605389967560768,0.0,44.0,0,44
0.9970600008964539,0.0,0.0,4.599999904632568,0.10000000149011612,0.000669333094265312,0.0,45.0,0,45
0.99699467420578,0.0,0.0,4.699999809265137,0.10000000149011612,0.0011523335706442595,0.0,46.0,0,46
0.9969293475151062,0.0,0.0,4.800000190734863,0.10000000149011612,0.0007817908190190792,0.0,47.0,0,47
0.9968640208244324,0.0,0.0,4.900000095367432,0.10000000149011612,0.0007714257808402181,0.0,48.0,0,48
0.9967986941337585,0.0,0.0,5.0,0.10000000149011612,0.001219112891703844,0.0,49.0,0,49
